(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DJH1T1JC,B0BBP799GW,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (24oz, 30 Count)",RC-PBL-118061,"10,397",156,0.22%,0.19%,"13,904",210,0.22%,0.19%,99.71%,99.07%,"6,213",68,59.76%,43.59%,"$294,350.41","$3,248.22","5,849",64
B0DJH1T1JC,B09NCMGJCL,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (12oz, 21 Count)",RC-PBL-115816,"17,765",271,0.37%,0.33%,"24,595",351,0.38%,0.32%,79.85%,77.71%,"6,166",69,34.71%,25.46%,"$147,602.04","$1,590.99","5,760",58
B0BF1929R2,B09NF8QT94,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (12oz, 15 Count)",RC-PBL-115817,"17,235",275,0.36%,0.34%,"25,726",389,0.40%,0.36%,97.11%,91.58%,"6,134",88,35.59%,32.00%,"$140,963.34","$1,988.79","5,478",73
B0BF1929R2,B09NCMGJCL,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (12oz, 21 Count)",RC-PBL-115816,"16,607",228,0.35%,0.28%,"24,467",335,0.38%,0.31%,97.43%,95.07%,"5,616",45,33.82%,19.74%,"$129,188.43","$1,024.12","5,296",40
B0DJH1T1JC,B0BBPYT5HH,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (24oz, 42 Count)",RC-PBL-118063,"8,492",132,0.18%,0.16%,"11,434",173,0.18%,0.16%,97.81%,100.00%,"5,561",43,65.49%,32.58%,"$262,925.01","$2,067.52","5,263",40
B0BF1929R2,B09NB1XG6T,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (12oz, 48 Count)",RC-PBL-115807,"18,161",292,0.38%,0.36%,"24,280",378,0.38%,0.35%,96.53%,94.21%,"5,059",51,27.86%,17.47%,"$116,401.85","$1,155.93","4,805",44
B00C8RJ3WE,B00C8RJ3WE,"VetOne: DuoClenz Rawhide Dental Hygenic Chews for Extra Large-sized Dogs, 30-Count Bag",RC-V1-510060-1,"5,634",85,0.12%,0.10%,"7,908",104,0.12%,0.10%,70.09%,71.76%,"5,379",39,95.47%,45.88%,"$127,549.56",$924.62,"4,448",31
B0BF1929R2,B0BBP799GW,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (24oz, 30 Count)",RC-PBL-118061,"7,641",109,0.16%,0.13%,"10,923",139,0.17%,0.13%,98.44%,93.81%,"4,648",52,60.83%,47.71%,"$213,620.99","$2,390.74","4,248",49
B0CNVBGN53,B0CF8248YC,"Wrap Buddies Adhesive Tape Rolls - Clear Tape for Wrap Buddies Wrapping Paper Clamps, Satin Finish Tape for Gift Wrapping, Tape Rolls for Dispenser, Multi-Purpose Sticky Tape (4 Pack)",RB-WRA-GT04,"26,154",654,0.54%,0.80%,"29,411",755,0.46%,0.69%,99.68%,99.57%,"4,732",130,18.09%,19.88%,"$37,770.78","$1,040.70","4,212",97
B0BF1929R2,B0BBPYT5HH,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Small Dogs (24oz, 42 Count)",RC-PBL-118063,"10,492",149,0.22%,0.18%,"14,760",203,0.23%,0.19%,99.18%,99.24%,"4,391",12,41.85%,8.05%,"$201,676.45",$551.64,"4,199",12
