(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B094DXZDDT,B079QNV6MD,"Kimberbell Orange Pop Quilting Rulers - Rectangle Set of 6 - Quilt Rulers for Cutting Quilt Blocks, Non-Slip, Bonus Quilting Rulers Included",RB-KB-KDTL102,"3,822",81,0.08%,0.10%,"6,417",128,0.10%,0.12%,60.34%,66.67%,205,2,5.36%,2.47%,"$16,066.18",$159.96,205,2
B09RJMD73B,B09RJMD73B,"VetOne Dog Shampoo and Conditioner - VetraSeb CeraDerm Conditioning Shampoo for Dogs, Cat Friendly, Cucumber Melon Sensitive Skin Dog Shampoo, 8 oz.",RC-V1-600170,"6,833",132,0.14%,0.16%,"9,835",192,0.15%,0.18%,30.11%,45.38%,210,1,3.07%,0.76%,"$3,742.52",$17.58,200,1
B07CR11G6P,B07CR11G6P,"Kimberbell Orange Pop Quilting Rulers - Square Set of 4 - Quilt Rulers for Cutting Quilt Blocks, Non-Slip, Bonus Half Square Triangle Ruler in Two Sizes!",RB-KB-KDTL101,"5,074",100,0.11%,0.12%,"6,626",145,0.10%,0.13%,68.41%,52.85%,199,2,3.92%,2.00%,"$13,013.09",$131.90,199,2
B09457F2TM,B093XTFW1B,"Kimberbell Tear Away Stabilizer Heavy Weight 2.5 Oz - 12”x10 YD Roll - Cut into Variable Sizes - for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting & More! KDST107",RB-KB-KDST107,"1,759",59,0.04%,0.07%,"2,420",79,0.04%,0.07%,82.81%,79.03%,207,16,11.77%,27.12%,"$4,342.86",$335.68,198,16
B0BJ866VBH,B078ZG1T3P,"Buddeez Bits and Bolts Storage Containers, 12 Pack, Red",RC-BUD-07801BLK-DS,"3,480",162,0.07%,0.20%,"4,791",228,0.07%,0.21%,95.02%,94.15%,223,40,6.41%,24.69%,"$12,059.00","$2,151.49",197,28
B0947H4NWX,B093XVHZBK,"Kimberbell Silky Soft Fusible Backing Specialty Stabilizer Light Weight - 12”x5 Yd Roll, Cut into Variable Sizes, for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting",RB-KB-KDST125,"2,259",50,0.05%,0.06%,"3,008",64,0.05%,0.06%,99.93%,100.00%,204,3,9.03%,6.00%,"$4,075.92",$59.94,192,3
B094DXZDDT,B07CR11G6P,"Kimberbell Orange Pop Quilting Rulers - Square Set of 4 - Quilt Rulers for Cutting Quilt Blocks, Non-Slip, Bonus Half Square Triangle Ruler in Two Sizes!",RB-KB-KDTL101,"3,933",74,0.08%,0.09%,"5,206",109,0.08%,0.10%,99.63%,100.00%,189,0,4.81%,0.00%,"$12,239.44",$0.00,189,0
B0827D5RFH,B0827D5RFH,VetOne O3 Omega Capsules Nutritional Supplement with Omega 3 Fatty Acids | Builds Immune & Joint Health | Promotes Healthy Skin & Coats | Large Dogs (60 Count Softgels),RC-V1-510131,893,14,0.02%,0.02%,"1,308",20,0.02%,0.02%,56.05%,45.45%,196,3,21.95%,21.43%,"$3,417.08",$52.37,186,3
B0CPM7JG44,B00B2FCCDK,"White Knight 1304-1S-20AM Zinc 1/2""-20 Open-End Bulge Acorn Lug Nut, 20 Count (Pack of 1)",RB-WHT-1304-1S-20AM,"1,021",38,0.02%,0.05%,"1,465",62,0.02%,0.06%,99.93%,93.55%,197,15,19.29%,39.47%,"$2,520.06",$194.85,185,12
B0CLYS2FZ8,B00B4XEIUA,"Canine Caviar - Free Spirit: Chicken & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-901275,"1,125",20,0.02%,0.02%,"1,422",24,0.02%,0.02%,87.02%,88.89%,192,1,17.07%,5.00%,"$6,477.22",$32.95,183,1
B0DDQBT1TB,B0BBPJ4V7Q,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (24oz, 12 Count)",RC-PBL-118059,453,5,0.01%,0.01%,547,10,0.01%,0.01%,99.60%,100.00%,209,3,46.14%,60.00%,"$9,609.78",$137.90,183,3
B0D2YGMSY6,B085SLZPC7,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Yellow/Gray",RC-SOL-033248,"5,551",136,0.12%,0.17%,"8,181",207,0.13%,0.19%,87.79%,84.62%,184,3,3.31%,2.21%,"$41,175.00",$675.00,182,3
B0D92J4N4N,B00C8RJ3BA,vetone DuoClenz Enzyme Coated Dental Chews for Medium Size Dogs 30 Count,RC-V1-510058,"8,592",122,0.18%,0.15%,"12,439",159,0.19%,0.15%,15.35%,18.31%,212,1,2.47%,0.82%,"$3,542.33",$16.19,181,1
B0BXM2VLSJ,B00OY6KMYK, ,RB-MYO-CRICHO562-1,"3,838",66,0.08%,0.08%,"5,442",97,0.08%,0.09%,7.93%,25.32%,187,3,4.87%,4.55%,"$12,145.65",$194.85,180,3
B09NF8QT94,B09NF8QT94,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (12oz, 15 Count)",RC-PBL-115817,552,11,0.01%,0.01%,872,16,0.01%,0.01%,78.15%,75.00%,214,1,38.77%,9.09%,"$4,976.84",$22.99,180,1
B0CV8RY3BH,B0CM56BS1P,"Kimberbell Spring/Summer Craft Kit - Embellishments, 11 Colored Felt Sheets, Nonwoven Felt for Crafts & Embroidery, Sewing Project Supplies",RB-KB-KDKB1285,"1,914",36,0.04%,0.04%,"2,517",58,0.04%,0.05%,99.91%,94.29%,183,3,9.56%,8.33%,"$4,567.38",$74.94,180,3
B0DG6J6KTH,B07CZ1DJRD,"Virbac Effipro Plus Topical Solution for Dogs - Dog Flea and Tick Treatment for Small Dogs (5-22.9lbs), 3 Doses, Waterproof Topical Prevention",RB-VB-063671,"1,527",17,0.03%,0.02%,"2,098",20,0.03%,0.02%,90.09%,90.00%,191,1,12.51%,5.88%,"$7,544.90",$39.55,179,1
B09457F2TM,B093XPT266,"Kimberbell Tear Away Stabilizer Light Weight 1.5 Oz - Precut 10”x12” 40 Sheets - Fits 4x4 5x7 6x10 Hoops, for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting & More!",RB-KB-KDST102,"1,621",39,0.03%,0.05%,"2,105",45,0.03%,0.04%,99.73%,96.30%,182,2,11.23%,5.13%,"$3,056.36",$33.96,178,2
B0C9LLWYVK,B0C9LLWYVK,"Solstice Inflatable Dog Float, Pup Plank Ramp for Pools, Boats & Docks, 220 Lbs, Blue/Grey",RB-SOL-33255,"56,030",707,1.16%,0.87%,"64,695",852,1.00%,0.78%,99.03%,99.07%,178,2,0.32%,0.28%,"$70,573.00",$700.00,178,2
B0947CY8V5,B093XTK6TP,"Kimberbell Wash Away Stabilizer - Wash Away Stabilizer for Embroidery, Sticky Back Stabilizer for Machine Embroidery, Water Soluble Stabilizer for Embroidery, 20""x5"" Yd Roll, No Residue",RB-KB-RB-KB-KDST124,"3,539",70,0.07%,0.09%,"4,654",89,0.07%,0.08%,99.69%,100.00%,185,3,5.23%,4.29%,"$10,881.36",$181.44,176,3
B0BJ866VBH,B07L19L28J,"Buddeez Bits and Bolts Storage Containers, 12 Pack, Yellow",RC-BUD-05312BLK-DS,"2,852",168,0.06%,0.21%,"3,858",258,0.06%,0.24%,99.85%,96.30%,208,43,7.29%,25.60%,"$11,325.96","$2,331.91",175,29
B00B2FCCIU,B00B2FCCIU,"White Knight 1309-1S-20AM Zinc M14x1.5 Open-End Bulge Acorn Lug Nut (0.90"" small diameter), 20 Pack",RB-WHT-1309-1S-20AM,"1,877",42,0.04%,0.05%,"2,753",62,0.04%,0.06%,82.56%,86.21%,188,3,10.02%,7.14%,"$2,364.18",$38.97,171,3
B01FJYXKFS,B0147QEC38,"Myogenix Myolean Whey Protein Powder - 20 Grams of Protein per Serving, 100% Whey Powder for Women and Men - Delicious Chocolate Flavor 5 LBS",RC-MYO-WHECHO5LB-mb,"2,242",35,0.05%,0.04%,"2,892",43,0.04%,0.04%,40.34%,30.00%,178,7,7.94%,20.00%,"$13,348.14",$524.85,170,7
B09457F2TM,B093XY8BTF,"Kimberbell Tear Away Stabilizer Heavy Weight 2.5 Oz - Precut 10”x12”, 40 Sheets - Fits 4x4 5x7 6x10 Hoops - For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting & More!",RB-KB-KDST109,"1,649",65,0.03%,0.08%,"2,166",83,0.03%,0.08%,99.47%,98.04%,178,10,10.79%,15.38%,"$3,804.66",$215.40,168,8
B07DBLFHF3,B07DBLFHF3, ,RC-V1-510134,442,5,0.01%,0.01%,661,7,0.01%,0.01%,97.19%,100.00%,205,2,46.38%,40.00%,"$2,569.63",$24.30,166,2
B07ZS1BCL6,B000HHLJ24,"AniMed Pure MSM Supplement for Horses, 1-Pound…",RB-ANI-000723M,"1,850",26,0.04%,0.03%,"2,560",35,0.04%,0.03%,28.35%,32.26%,173,4,9.35%,15.38%,"$2,539.30",$55.95,163,4
B0CBN8XQS1,B004C0OHZS,"Kijaro XXL Dual Lock Portable Camping Chair - Supports Up To 400lbs - Enjoy the Outdoors in a Versatile Folding Chair, Sports Chair, Outdoor Chair & Lawn Chair – Ireland Green",RC-DEN-801171,"3,190",43,0.07%,0.05%,"4,001",50,0.06%,0.05%,96.40%,100.00%,174,2,5.45%,4.65%,"$9,347.12",$109.98,163,1
B0CDJTDJY4,B004C0QECC,"Kijaro Dual Lock Portable Camping Chairs - Enjoy the Outdoors with a Versatile Folding Chair, Sports Chair, Outdoor Chair & Lawn Chair - Dual Lock Feature Locks Position – Victoria Desert Orange",RC-DEN-800711,"16,510",161,0.34%,0.20%,"33,594",340,0.52%,0.31%,13.40%,17.97%,201,8,1.22%,4.97%,"$8,957.60",$375.40,163,5
B00OY6KQU0,B00OY6KQU0,"Joint & Tissue Supplement - Enhanced Supplement, Now with 500% More Joint Muscle Supplements, Joint Vitamins for Men (240 Caps)",RC-MYO-J&T240060,768,28,0.02%,0.03%,"1,114",44,0.02%,0.04%,88.93%,90.48%,171,2,22.27%,7.14%,"$7,693.29",$89.98,163,2
B07VLBX9Q4,B01L7Y9XL4,"Canine Caviar - Synergy Dehydrated Vegetable Mix, Dog Food Topper, Dehydrated Dog Food, Supplements & Vitamins, Gluten-Free (2.5 Pounds)",RB-CAN-600048,967,22,0.02%,0.03%,"1,440",27,0.02%,0.02%,88.75%,88.00%,190,6,19.65%,27.27%,"$6,866.48",$215.70,163,5
B0BXM2VLSJ,B002NU6FKO,"Myogenix Critical Mass - Cookies and Cream Flavored Muscle Mass Weight Gain Supplement, Zero Lactose Protein Powder, Anabolic Whey Protein (6.01 lbs)",RC-MYO-CRICNC562,"2,053",56,0.04%,0.07%,"2,940",81,0.05%,0.07%,87.09%,82.35%,172,5,8.38%,8.93%,"$11,150.88",$304.69,162,5
B0947H4NWX,B093XVHZC7,"Kimberbell Fusible Backing Specialty Stabilizer Light Weight 20”x5 Yd Roll Cut into Variable Sizes: For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting, Iron-On & More",RB-KB-KDST127,"1,727",35,0.04%,0.04%,"2,238",40,0.03%,0.04%,99.60%,100.00%,172,5,9.96%,14.29%,"$7,037.02",$201.92,159,5
B0BHXCC5F5,B0BHXCC5F5,"Myogenix MyoVite Super Greens Supplement Powder - Super Greens Powder for Men and Women, Daily Vitamin Supplement for Optimum Nutrition, Grown in USA - Organic Supplements, 30 Servings",RC-MYO-SUPERG,"1,202",18,0.02%,0.02%,"1,515",19,0.02%,0.02%,68.98%,84.62%,185,1,15.39%,5.56%,"$10,159.93",$54.97,159,1
B0BLQ675NX,B004C0RCRS,Kijaro Sling Folding Camping Chair - Enjoy the Outdoors in this Outdoor Chair with a Built-in Cup Holders and Side Organizer - Includes a Detachable Pillow - Maldives Blue,RC-DEN-801661,"3,058",44,0.06%,0.05%,"4,208",53,0.07%,0.05%,72.02%,80.00%,194,4,6.34%,9.09%,"$7,996.06",$164.96,157,3
B0CV8RY3BH,B0CC7VJKZP,"Kimberbell Fall/Winter Embroidery Felt Pack – 11 Assorted 9x12” Nonwoven Felt Sheets for Sewing, Crafts, Embroidery Supplies, Craft Kit for Sewing Projects",RB-KB-KDKB1284,"4,281",97,0.09%,0.12%,"5,635",122,0.09%,0.11%,96.82%,93.83%,166,4,3.88%,4.12%,"$4,142.70",$99.92,156,4
B09D279KB2,B00S012LNK,"Myogenix Aftershock Post Workout, Muscle Growth Whey Protein Powder | Anabolic Whey Protein and Mass Building Carbohydrates | Amino Stack Creatine and Glutamine Plus BCAAs | Orange Creamsicle 3 LBS",RB-MYO-AFTORA2.64,"2,666",44,0.06%,0.05%,"3,808",56,0.06%,0.05%,69.69%,35.00%,162,0,6.08%,0.00%,"$8,098.10",$0.00,154,0
B0CV48HSD5,B085SLZPC7,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Yellow/Gray",RC-SOL-033248,"5,584",136,0.12%,0.17%,"8,055",196,0.12%,0.18%,91.74%,92.51%,155,6,2.78%,4.41%,"$32,127.77","$1,256.88",154,6
B0D9KGQR4W,B093XVHZC7,"Kimberbell Fusible Backing Specialty Stabilizer Light Weight 20”x5 Yd Roll Cut into Variable Sizes: For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting, Iron-On & More",RB-KB-KDST127,"1,610",38,0.03%,0.05%,"2,013",49,0.03%,0.04%,99.00%,100.00%,161,3,10.00%,7.89%,"$6,755.42",$125.94,151,3
B0BBPVC7XK,B0BBPVC7XK,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (24oz, 96 Count)",RC-PBL-118064,396,4,0.01%,0.00%,550,5,0.01%,0.00%,97.15%,100.00%,157,4,39.65%,100.00%,"$7,218.79",$183.88,150,4
B0CV48HSD5,B09SBTNXXY,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Camo/Gray",RC-SOL-033250,"4,200",88,0.09%,0.11%,"5,710",112,0.09%,0.10%,98.51%,95.74%,149,4,3.55%,4.55%,"$29,060.53",$779.88,148,4
B0D1FW1S9H,B093XXY1RX,"Kimberbell Project Batting 19”x3 Yd Roll Cotton Poly Blend, Machine Washable, Cut into Variable Sizes, Gives Form, Provide A Barrier For: Machine Embroidery, Sewing, Quilting, Piecing Projects & More!",RB-KB-KDST138,"1,125",17,0.02%,0.02%,"1,497",27,0.02%,0.02%,99.12%,100.00%,169,4,15.02%,23.53%,"$5,066.62",$119.92,145,2
B0CLYS2FZ8,B00U1BUW5Q,"Canine Caviar - Leaping Spirit: Venison & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (22 Pound Bag)",RC-CAN-801209,851,31,0.02%,0.04%,"1,002",38,0.02%,0.03%,95.18%,100.00%,149,3,17.51%,9.68%,"$19,657.47",$389.85,143,3
B01FJYXKFS,B0147Q84AK,"Myogenix Myolean Whey Protein Powder - 20 Grams of Protein per Serving, 100% Whey Powder for Women and Men - Delicious Vanilla Flavor 5 LBS",RC-MYO-WHEVAN5LB-mb,"2,693",59,0.06%,0.07%,"3,345",68,0.05%,0.06%,58.94%,43.10%,165,32,6.13%,54.24%,"$12,372.77","$2,399.10",142,13
B011NMC3TY,B011NMC3TY,"Omega 3 Fatty Acid Supplement - Myogenix Myomega Premium Icelandic Omega 3 Supplement to Support Heart, Brain and Joint Health, Omega 3 Fatty Acid Supplements with Fish Oil (90 Softgels)",RC-MYO-MEG90S030,"1,138",23,0.02%,0.03%,"1,599",32,0.02%,0.03%,79.54%,69.57%,157,1,13.80%,4.35%,"$6,278.43",$39.99,141,1
B000HHM2CA,B000HHM2CA,AniMed Remission 10 lb,RB-ANI-054893M,"1,076",27,0.02%,0.03%,"1,431",35,0.02%,0.03%,65.03%,54.29%,145,4,13.48%,14.81%,"$11,598.55",$319.96,140,4
B00WAP0M1U,B00WAP0M1U,Vet One Dog Allergy Shampoo - Vet formula dog Shampoo for Dogs 8 oz,RB-V1-510125-1,"9,205",177,0.19%,0.22%,"14,650",247,0.23%,0.23%,6.32%,11.67%,151,2,1.64%,1.13%,"$2,776.50",$37.02,140,1
B0CLYS2FZ8,B00U1BZUTE,"Canine Caviar - Free Spirit: Chicken & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (11 Pound Bag)",RC-CAN-801032,883,16,0.02%,0.02%,"1,097",17,0.02%,0.02%,93.56%,92.31%,147,0,16.65%,0.00%,"$9,445.59",$0.00,139,0
B0CNF5KL6S,B0CNF5KL6S,"Kimberbell Mini Quilts Vol. 1 Embellishment Kit – 15 Piece Set for January–June Projects, Includes Applique Glitter, Embroidery Leather, Clear Vinyl & More for Machine Embroidery Quilting",RB-KB-KDKB1286,"1,049",17,0.02%,0.02%,"1,545",20,0.02%,0.02%,88.23%,78.95%,145,0,13.82%,0.00%,"$3,945.17",$0.00,139,0
B0D1GHNQ1L,B0CZPQLLRK,"Kimberbell Clear Blue Tiles: Expansion Set 2 (7 Pc) For Larger Hoop Sizes, At-Home Quilting System On Your Embroidery Machine, Custom Block-By-Block",RB-KB-KDTL113,"1,875",39,0.04%,0.05%,"2,378",45,0.04%,0.04%,85.74%,88.46%,139,1,7.41%,2.56%,"$5,502.14",$39.07,139,1
B0CLYS2FZ8,B00U1BUU8U,"Canine Caviar - Open Sky: Duck & Teff Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (22 Pound Bag)",RC-CAN-801087,862,23,0.02%,0.03%,"1,047",25,0.02%,0.02%,94.32%,100.00%,168,23,19.49%,100.00%,"$22,018.54","$2,882.89",138,5
B0CPN5D78N,B00B2FCAXW,"White Knight 1704S-20AM Chrome 1/2""-20 Bulge Acorn Lug Nut, 20 Pack",RB-WHT-1704S-20AM,"1,018",22,0.02%,0.03%,"1,511",33,0.02%,0.03%,99.53%,96.77%,136,3,13.36%,13.64%,"$2,582.64",$56.97,135,3
B0D1GHNQ1L,B09DDFNWGV,"Kimberbell Clear Blue Tiles: Expansion Set (22 Pcs) for Larger Hoop Sizes, at-Home Quilting System On Your Embroidery Machine, Custom Block-by-Block Quilting, Allover Quilting Patterns",RB-KB-KDTL106-MB,"2,369",38,0.05%,0.05%,"2,994",50,0.05%,0.05%,96.75%,100.00%,135,0,5.70%,0.00%,"$6,707.92",$0.00,135,0
B0CLYS2FZ8,B00B7H5WNU,"Canine Caviar - Leaping Spirit: Venison & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-902449,930,26,0.02%,0.03%,"1,167",29,0.02%,0.03%,81.71%,80.00%,142,1,15.27%,3.85%,"$5,781.72",$38.95,134,1
B0CLYS2FZ8,B00BUM3MLG,"Canine Caviar - Open Sky: Duck & Teff Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (4.4 Pound Bag)",RC-CAN-902456,"1,300",28,0.03%,0.03%,"1,578",33,0.02%,0.03%,98.17%,95.45%,148,2,11.38%,7.14%,"$5,853.67",$75.90,134,2
B07CYXK4MN,B07CYXK4MN,"Effitix Plus Topical Solution for Dogs - Flea and Tick for Toy Dogs (5-10.9lbs), 3 Doses, Waterproof Topical Prevention (by Virbac)",RB-VB-063675,"1,101",19,0.02%,0.02%,"1,469",30,0.02%,0.03%,91.30%,93.33%,158,1,14.35%,5.26%,"$5,856.24",$29.79,133,1
B0CYD5W9XH,B085SLZPC7,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Yellow/Gray",RC-SOL-033248,"7,223",152,0.15%,0.19%,"10,381",227,0.16%,0.21%,56.18%,56.00%,132,3,1.83%,1.97%,"$29,694.96",$675.00,132,3
B0CQ2F2YDS,B003KUT6DY,"Canine Caviar Dried Sweet Potato Dog Treats All-Natural Dog Treats, Rawhide Free and Gluten Free Healthy Dog Treats, Dog Training Treats for All Breeds and Life Stages (6 oz)",RB-CAN-120126,462,9,0.01%,0.01%,602,10,0.01%,0.01%,86.68%,87.50%,167,0,36.15%,0.00%,"$2,284.83",$0.00,131,0
B0D9KGQR4W,B093XZ39H4,"Kimberbell Fusible Backing Specialty Stabilizer Light Weight 12”x5 Yd Roll Cut into Variable Sizes: For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting, Iron-On & More",RB-KB-KDST126,"1,095",25,0.02%,0.03%,"1,444",29,0.02%,0.03%,99.45%,100.00%,142,1,12.97%,4.00%,"$4,683.16",$32.98,131,1
B0BBP799GW,B0BBP799GW,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (24oz, 30 Count)",RC-PBL-118061,170,1,0.00%,0.00%,325,1,0.01%,0.00%,100.00%,0.00%,144,0,84.71%,0.00%,"$6,621.12",$0.00,129,0
B09457F2TM,B09RPGTV6N,"Kimberbell Tear Away Sticky-Back Stabilizer - 12”x10 Yards Roll - Cut into Variable Sizes - Medium Weight - For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting & More!",RB-KB-KDST106,"2,167",49,0.05%,0.06%,"2,658",67,0.04%,0.06%,99.67%,100.00%,137,0,6.32%,0.00%,"$5,941.47",$0.00,128,0
B0D9KGQR4W,B093XVHZBK,"Kimberbell Silky Soft Fusible Backing Specialty Stabilizer Light Weight - 12”x5 Yd Roll, Cut into Variable Sizes, for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting",RB-KB-KDST125,"1,742",35,0.04%,0.04%,"2,286",42,0.04%,0.04%,99.56%,100.00%,129,2,7.41%,5.71%,"$2,557.44",$39.96,127,2
B0DBNRG7TZ,B093XTK6TP,"Kimberbell Wash Away Stabilizer - Wash Away Stabilizer for Embroidery, Sticky Back Stabilizer for Machine Embroidery, Water Soluble Stabilizer for Embroidery, 20""x5"" Yd Roll, No Residue",RB-KB-RB-KB-KDST124,"2,246",54,0.05%,0.07%,"3,085",68,0.05%,0.06%,98.56%,100.00%,129,4,5.74%,7.41%,"$7,747.50",$241.92,126,4
B0BVKSRG6H,B0BVN2H1FB,Nadri Teardrop Earrings for Women - 18k-Gold-Plated Dangle Earrings for Women - Bridal Gifts and Wedding Jewelry - Hypoallergenic Jewelry,RB-NAD-AO13952GCZ-MB,"8,767",140,0.18%,0.17%,"12,078",212,0.19%,0.19%,97.38%,90.14%,126,2,1.44%,1.43%,"$11,250.00",$180.00,126,2
B00DNPGJPY,B00DNPGJPY,"White Knight M14x1.5 Lug Nuts for Select GM and CDJR, Solid Piece Factory Style Chrome Standard (1.56"") Duplex Bulge Acorn - 1709D-4AM, 4 Pack",RB-WK-1709D-4,"1,563",33,0.03%,0.04%,"2,384",43,0.04%,0.04%,60.56%,51.16%,154,1,9.85%,3.03%,"$1,615.46",$10.49,124,1
B011BPLLC8,B011BPLLC8,"Dried Kelp Powder for Dogs - Canine Caviar Organic Norwegian Dried Kelp Supplement Powder to Improve Teeth and Gums, Circulation, Metabolism, and Joint Health, Dog Supplement (1.5 lb)",RB-CAN-300160,868,16,0.02%,0.02%,"1,267",19,0.02%,0.02%,82.00%,78.95%,129,3,14.86%,18.75%,"$2,967.44",$67.44,124,3
B0CLYS2FZ8,B00TKB9MV8,"Canine Caviar - Wild Ocean: Herring & Teff Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (11 Pound Bag)",RC-CAN-801056,781,11,0.02%,0.01%,"1,010",11,0.02%,0.01%,72.21%,87.50%,133,4,17.03%,36.36%,"$9,661.41",$288.52,122,1
B09457F2TM,B093XWDBDR,"Kimberbell Tear Away Stabilizer Light Weight 1.5 Oz - 20”x10 Yd Roll - Cut into Variable Sizes - for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting & More! KDST101",RB-KB-KDST101,883,24,0.02%,0.03%,"1,122",29,0.02%,0.03%,99.51%,100.00%,136,5,15.40%,20.83%,"$3,997.28",$149.90,122,2
B0945S7ZYV,B093XWF7KV,"Kimberbell Cut Away Stabilizer Medium Weight Mesh 2.0 Oz, 12”x10 Yd Roll - Cut into Variable Sizes, For Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting & More! KDST114",RB-KB-KDST114,"1,171",33,0.02%,0.04%,"1,501",43,0.02%,0.04%,99.76%,100.00%,126,2,10.76%,6.06%,"$2,622.74",$41.96,122,2
B0BVKV1BBS,B0BY9LDC26,"Nadri Oval Stud Earrings - 18K Gold Plated Cubic Zirconia Earrings for Women, Bridesmaid Gifts for Wedding Day, Hypoallergenic Small Stud Earrings for women For Any Occasion",RB-NAD-AO40571GCZ,"47,242",638,0.98%,0.78%,"64,703",872,1.00%,0.80%,99.92%,96.44%,122,0,0.26%,0.00%,"$4,270.00",$0.00,122,0
B0D2YGMSY6,B0C9LLWYVK,"Solstice Inflatable Dog Float, Pup Plank Ramp for Pools, Boats & Docks, 220 Lbs, Blue/Grey",RB-SOL-33255,"8,817",183,0.18%,0.22%,"10,876",230,0.17%,0.21%,99.43%,97.32%,121,2,1.37%,1.09%,"$45,131.00",$764.00,121,2
B0CRVGWX6S,B0C9RH9GF6,"Nadri Clip On Earrings for Women - Gold Plated Cubic Zirconia Earring Studs for Women, Christmas Gifts, Holiday Jewelry",RB-NAD-AL41669GCZ-MB,"4,096",46,0.09%,0.06%,"5,621",60,0.09%,0.05%,95.04%,68.75%,125,2,3.05%,4.35%,"$6,875.00",$110.00,121,1
B00DNPGMCE,B00DNPGMCE,White Knight M12x1.50 Chrome Factory Style Lug Nuts for Select Toyota | Lexus | Kia | Genesis - Med Mag with Washer - Carbon Steel for Durable Construction & Easy Installation - 5307-4 ( 4 Pack ),RB-WHT-5307-4,"1,253",16,0.03%,0.02%,"1,792",17,0.03%,0.02%,80.52%,76.47%,144,0,11.49%,0.00%,"$1,571.57",$0.00,120,0
B0CM568RXS,B0CM568RXS,"Kimberbell Mini Quilts Vol. 1: Jan–June Machine Embroidery CD – 6 Seasonal 12x12” in-The-Hoop Projects for 5x7 or Larger Hoops, Includes Quilting Designs & Instructions",RB-KB-KD5130,"1,776",35,0.04%,0.04%,"2,434",50,0.04%,0.05%,96.69%,90.91%,119,0,6.70%,0.00%,"$4,893.22",$0.00,119,0
B0DVMCNP2Z,B0DVMCNP2Z,Virbac Zenifel Gel Diffuser for Managing Stress-Related Behaviors in Kittens & Cats - No Electricity Needed - Lasts Up to 2 Months - 1 Diffuser,RB-VB-126356,486,4,0.01%,0.00%,702,5,0.01%,0.00%,94.79%,100.00%,146,4,30.04%,100.00%,"$5,042.98",$137.24,118,2
